"Index","GLD","GSG","DJP","jjc","dba","spy","qqq","iwm","eusa","vgk","dxj","eem","fxi","ewc","xiu.to","ewa","acwi","iyr","rwo","igf","iei","ief","tlt","pttrx","bwx","emb","lqd","jnk","ibnd","tip","xrb.to","wip","shv"
Dec 2003," "," "," "," "," ","86.94445","33.024473","47.022547"," "," "," ","14.738905"," ","11.58715","8.6653","7.736349"," ","29.359592"," "," "," ","57.902297","53.870011","5.274022"," "," ","63.557377"," "," ","68.371125"," "," "," "
Jan 2004," "," "," "," "," ","88.663341","33.576995","49.059623"," "," "," ","15.095854"," ","11.635938","8.987214","7.678443"," ","30.554442"," "," "," ","58.490207","54.872393","5.30952"," "," ","64.333378"," "," ","69.204672"," "," "," "
Feb 2004," "," "," "," "," ","89.866557","33.124109","49.526453"," "," "," ","15.692849"," ","11.944928","9.297832","8.077999"," ","31.104546"," "," "," ","59.432994","56.124532","5.371721"," "," ","65.302882"," "," ","70.690274"," "," "," "
Mar 2004," "," "," "," "," ","88.676221","32.462895","49.999978"," "," "," ","15.779165"," ","11.863615","9.003573","8.147487"," ","32.784337"," "," "," ","60.20385","56.916463","5.41673"," "," ","65.948804"," "," ","71.866653"," "," "," "
Apr 2004," "," "," "," "," ","86.998351","31.493719","47.240626"," "," "," ","14.232718"," ","10.863461","8.619839","7.533676"," ","27.886906"," "," "," ","57.587253","53.36756","5.292985"," "," ","63.384916"," "," ","68.401328"," "," "," "
May 2004," "," "," "," "," ","88.48805","33.105993","48.256782"," "," "," ","14.399046"," ","11.050482","8.80131","7.643698"," ","29.785972"," "," "," ","57.281436","53.229839","5.274126"," "," ","63.053305"," "," ","69.782716"," "," "," "
Jun 2004," "," "," "," "," ","90.125197","34.183865","50.298558"," "," "," ","14.532118"," ","11.684725","9.000693","7.771093"," ","30.651322"," "," "," ","57.655627","53.790576","5.298537"," "," ","63.133026"," "," ","69.68426"," "," "," "
Jul 2004," "," "," "," "," ","87.221484","31.602411","46.892461"," "," "," ","14.00345"," ","11.676594","8.957028","7.666861"," ","30.733238"," "," "," ","58.354233","54.614404","5.355389"," "," ","64.119479"," "," ","70.248559"," "," "," "
Aug 2004," "," "," "," "," ","87.433954","30.814389","46.18481"," "," "," ","14.497953"," ","11.611543","8.873495","7.840582"," ","33.266531"," "," "," ","60.005484","56.889465","5.461252"," "," ","66.094945"," "," ","72.139518"," "," "," "
Sep 2004," "," "," "," "," ","88.311527","31.828854","48.648058"," "," "," ","15.509438"," ","12.571041","9.175045","8.408069"," ","33.131234"," "," "," ","60.198948","57.429596","5.470762"," "," ","66.300799"," "," ","72.199115"," "," "," "
Oct 2004," "," "," "," "," ","89.449396","33.423016","49.64794"," "," "," ","15.95089","13.717014","13.376043","9.470584","8.958183"," ","34.834443"," "," "," ","60.794452","58.443073","5.525907"," "," ","67.085096"," "," ","72.989085"," "," "," "
Nov 2004,"45.119999"," "," "," "," ","93.431453","35.433829","54.215771"," "," "," ","17.537798","14.865208","14.042812","9.619307","9.629901"," ","36.313626"," "," "," ","59.59203","57.042919","5.506867"," "," ","66.266699"," "," ","72.751716"," "," "," "
Dec 2004,"43.799999"," "," "," "," ","96.245706","36.504761","55.511803"," "," "," ","18.370146","14.777295","14.225445","9.857237","10.011258"," ","38.204696"," "," "," ","60.287655","58.559569","5.545755"," "," ","67.188484"," "," ","74.031395"," "," "," "
Jan 2005,"42.220001"," "," "," "," ","94.087803","34.200355","53.257037"," "," "," ","18.272765","14.433637","13.575467","9.736606","10.08919"," ","34.948614"," "," "," ","60.812825","60.649326","5.562411"," "," ","68.013808"," "," ","74.038393"," "," "," "
Feb 2005,"43.529999"," "," "," "," ","96.054596","34.035754","54.131509"," "," "," ","20.041978","15.398014","14.480498","10.242106","10.634713"," ","36.114602"," "," "," ","59.980672","59.756497","5.541587"," "," ","67.377044"," "," ","73.647382"," "," "," "
