"Index","GLD","GSG","DJP","jjc","dba","spy","qqq","iwm","eusa","vgk","dxj","eem","fxi","ewc","xiu.to","ewa","acwi","iyr","rwo","igf","iei","ief","tlt","pttrx","bwx","emb","lqd","jnk","ibnd","tip","xrb.to","wip","shv"
Dec 2003," "," "," "," "," ","111.279999","36.459999","110.800003"," "," "," ","163.929955"," ","14.25","46.029999","13.36"," ","99.269997"," "," "," ","84.699997","85.449997","10.71"," "," ","110.57"," "," ","101.709999"," "," "," "
Jan 2004," "," "," "," "," ","113.480003","37.07","115.599998"," "," "," ","167.900036"," ","14.31","47.740002","13.26"," ","103.309998"," "," "," ","85.559998","87.040001","10.76"," "," ","111.919998"," "," ","102.949997"," "," "," "
Feb 2004," "," "," "," "," ","115.019997","36.57","116.699997"," "," "," ","174.539967"," ","14.69","49.389999","13.95"," ","105.169998"," "," "," ","86.68","88.660004","10.87"," "," ","113.160004"," "," ","105.160004"," "," "," "
Mar 2004," "," "," "," "," ","113.099998","35.84","117.599998"," "," "," ","175.5"," ","14.59","47.630001","14.07"," ","109.449997"," "," "," ","87.550003","89.550003","10.94"," "," ","113.839996"," "," ","106.910004"," "," "," "
Apr 2004," "," "," "," "," ","110.959999","34.77","111.110001"," "," "," ","158.300011"," ","13.36","45.599998","13.01"," ","93.099998"," "," "," ","83.5","83.639999","10.67"," "," ","109"," "," ","101.260002"," "," "," "
May 2004," "," "," "," "," ","112.860001","36.549999","113.5"," "," "," ","160.149954"," ","13.59","46.560001","13.2"," ","99.440002"," "," "," ","82.790001","83.099998","10.61"," "," ","108"," "," ","102.75"," "," "," "
Jun 2004," "," "," "," "," ","114.529999","37.740002","117.989998"," "," "," ","161.630018"," ","14.37","47.41","13.42"," ","101.029999"," "," "," ","83.050003","83.650002","10.64"," "," ","107.699997"," "," ","101.919998"," "," "," "
Jul 2004," "," "," "," "," ","110.839996","34.889999","110"," "," "," ","155.750032"," ","14.36","47.18","13.24"," ","101.300003"," "," "," ","83.779999","84.589996","10.73"," "," ","108.940002"," "," ","102.330002"," "," "," "
Aug 2004," "," "," "," "," ","111.110001","34.02","108.339996"," "," "," ","161.250029"," ","14.28","46.740002","13.54"," ","109.650002"," "," "," ","85.870003","87.769997","10.92"," "," ","111.849998"," "," ","104.529999"," "," "," "
Sep 2004," "," "," "," "," ","111.760002","35.139999","113.849998"," "," "," ","172.500029"," ","15.46","48.119999","14.52"," ","107.959999"," "," "," ","85.879997","88.25","10.92"," "," ","111.760002"," "," ","104.190002"," "," "," "
Oct 2004," "," "," "," "," ","113.199997","36.900002","116.190002"," "," "," ","177.409973","51.48999","16.450001","49.669998","15.47"," ","113.510002"," "," "," ","86.470001","89.440002","11.01"," "," ","112.650002"," "," ","105.330002"," "," "," "
